Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_23_683.jpg;-0.04981086;0.2008004;0;0;99.67007;85.5891;0.003248428;53.86264;3.95875E-05
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_23_750.jpg;-1.987621;0.4003742;0;0.02865605;99.67202;85.59174;0.07345503;53.99722;-0.0005054278
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_23_816.jpg;-6.004887;0.6012376;0;0.04734205;99.67483;85.59528;0.1648862;54.08376;-0.004670721
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_23_883.jpg;-2.041534;0.7994053;0;0.07560633;99.67912;85.60091;0.301326;54.06234;359.992
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_23_950.jpg;0;1;0;0.1169604;99.68741;85.61253;0.5465276;54.33498;0.00228619
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_24_016.jpg;0;1;0;0.1761167;99.69632;85.62482;0.7768859;54.40081;0.0001518523
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_24_083.jpg;0;1;0;0.2560985;99.70761;85.64043;1.043282;54.3639;-0.001322448
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_24_150.jpg;0;1;0;0.2806185;99.72443;85.66371;1.328891;54.44389;-0.001641368
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_24_216.jpg;0;1;0;0.3232144;99.73591;85.67937;1.23778;54.34249;-0.000430936
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_24_283.jpg;0;1;0;0.4163461;99.74937;85.69812;1.129849;54.33009;-0.0001770057
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_24_350.jpg;0;1;0;0.4739675;99.77126;85.72837;1.09567;54.33107;-0.0006196862
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_24_416.jpg;0;1;0;0.5144054;99.79028;85.75467;1.13349;54.23266;0.0007425548
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_24_483.jpg;0;1;0;0.5677507;99.81129;85.78359;1.202911;54.18476;-0.0005535007
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_24_550.jpg;0;1;0;0.6161908;99.84151;85.82526;1.24313;54.35952;-0.002519866
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_24_617.jpg;0;1;0;0.677428;99.86577;85.85871;1.222362;54.3694;-0.0008693928
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_24_683.jpg;0;1;0;0.7470523;99.89178;85.89468;1.194271;54.36399;-0.0007482017
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_24_750.jpg;0;1;0;0.8039399;99.9293;85.94659;1.19292;54.34429;-0.0009076513
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_24_817.jpg;0;1;0;0.856455;99.96021;85.98934;1.222435;54.32746;-0.0007884792
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_24_883.jpg;0;1;0;0.9194344;99.99255;86.03404;1.232235;54.33214;-0.001056389
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_24_950.jpg;0;1;0;0.9576952;100.0381;86.09695;1.22044;54.38166;-0.0008668302
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_25_016.jpg;0;1;0;1.018417;100.0742;86.14688;1.208855;54.3762;-0.0003977069
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_25_083.jpg;0;1;0;1.077988;100.1123;86.1996;1.225429;54.3694;-0.0008544226
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_25_150.jpg;0;1;0;1.126081;100.1654;86.27313;1.226776;54.35334;-0.0007827963
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_25_217.jpg;0;1;0;1.168337;100.2072;86.33095;1.228282;54.33658;-0.0008031853
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_25_283.jpg;0;1;0;1.231368;100.2506;86.39104;1.231967;54.32691;-0.0005310899
